Winner,Elapsed time,A Damage,B Damage,A Light Attacks,B Light Attacks,A Heavy Attacks,B Heavy Attacks,A Successful Blocks,B Successful Blocks,A Failed Blocks,B Failed Blocks
Base AI,41.60445,158.6319,53.83308,18,3,2,4,2,11,0,0
Base AI,25.06123,126,75.25,11,9,1,1,1,4,0,0
Base AI,25.94256,113.75,106.8465,8,5,2,6,3,1,0,0
Base AI,35.7678,158.9795,71.0994,19,3,1,4,0,8,0,0
Base AI,42.9615,161,78.36897,19,5,1,4,3,9,0,0
Base AI,26.14866,126,82.4994,14,5,1,3,0,4,0,0
Base AI,31.82656,143.1443,29.75,17,3,1,1,0,10,0,0
Base AI,40.46465,182,15.75,18,1,2,1,0,14,0,0
Base AI,23.75411,133,14,12,2,1,0,0,8,0,0
Base AI,23.20435,147,64.75,11,5,1,3,1,4,0,0
Utility AI,43.42223,133,162.6015,15,6,1,10,5,4,0,0
Base AI,36.23913,140,112.9894,16,7,1,7,3,4,0,0
Base AI,44.36044,189.2463,23.57598,22,2,2,2,0,15,0,0
Base AI,48.88666,203,47.39426,25,4,1,2,1,14,0,0
Base AI,26.28961,147,86.86724,11,6,1,4,2,3,0,0
Base AI,44.44274,140,120.3528,16,9,1,7,5,6,0,0
Base AI,11.69127,101.2944,38.5,2,3,2,4,1,1,0,0
Base AI,23.34846,133,50.94677,8,3,2,4,1,2,0,0
Utility AI,32.36773,119.1301,123.6343,11,10,2,3,3,3,0,0
Base AI,30.9723,154,49.42125,15,2,1,4,1,6,0,0
Base AI,33.38861,140,35.37201,16,0,1,5,1,10,0,0
Base AI,35.88063,140,56.55065,16,4,1,5,2,9,0,0
Draw,41.2568,126,148.6779,14,10,1,8,5,3,0,0
Base AI,40.16921,161,102.1044,16,12,1,3,4,5,0,0
Base AI,46.75229,140,137.9724,16,13,1,7,7,4,0,0
Base AI,42.495,175,88.06064,21,9,1,2,1,10,0,0
Base AI,11.10844,112,48.67822,6,1,1,4,0,0,0,0
Base AI,35.17295,154,51.3147,18,3,1,3,0,9,0,0
Base AI,33.49026,162.716,68.97701,13,4,2,4,1,6,0,0
Base AI,25.54391,140,24.87958,13,1,1,2,0,8,0,0
Base AI,32.52003,140,60.48342,16,4,1,4,1,7,0,0
Base AI,49.09331,182,91,22,10,1,3,3,9,0,0
Base AI,40.48081,168,66.5,20,5,1,3,1,10,0,0
Base AI,41.9673,119,151.0252,13,6,1,12,6,2,0,0
Base AI,31.85105,147,89.79567,11,10,1,3,4,3,0,0
Base AI,41.68166,133,137.0478,15,7,1,9,5,3,0,0
Utility AI,59.7865,161,183.9192,19,9,1,10,9,8,0,0
Base AI,28.9916,131.1696,47.80806,13,3,2,3,0,8,0,0
Base AI,32.91252,119,91.84546,13,8,1,6,3,2,0,0
No winner (Timeout),300.0059,0,0,0,0,0,0,0,0,0,0
Draw,0,0,0,0,0,0,0,0,0,0,0
Draw,0,0,0,0,0,0,0,0,0,0,0
Draw,0,0,0,0,0,0,0,0,0,0,0
Draw,0,0,0,0,0,0,0,0,0,0,0
Draw,0,0,0,0,0,0,0,0,0,0,0
Draw,0,0,0,0,0,0,0,0,0,0,0
Draw,0,0,0,0,0,0,0,0,0,0,0
Draw,0,0,0,0,0,0,0,0,0,0,0
Draw,0,0,0,0,0,0,0,0,0,0,0
Draw,0,0,0,0,0,0,0,0,0,0,0
